record_type,holding_month,signal_month,thesis_name,thesis_label,role,candidate_id,candidate_label,params_label,anchor_trade_date,next_execution_date,position,security_id,ticker_local,eodhd_symbol,company_name,country_code,exchange_group,currency,signal_score,asof_trade_date,anchor_close_sek,median_daily_value_60d_sek,market_cap_sek,order_notional_sek,target_weight,adv_participation_ratio,data_status,one_way_cost_bps,action,gross_return,trade_cost,net_return
history,2026-04,2026-03,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-03-31T00:00:00,2026-04-01T00:00:00,7,JYSK.CO,JYSK,JYSK.CO,Jyske Bank A/S,DK,Nasdaq Copenhagen,DKK,0.7040207258575444,2026-03-31T00:00:00,1287.8870299999999,130042733.58928001,,31250.0,0.125,0.00024030562214032137,fresh,52.75,hold,-0.028462379429893256,0.002325,-0.030787379429893257
history,2026-04,2026-03,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-03-31T00:00:00,2026-04-01T00:00:00,8,NKT.CO,NKT,NKT.CO,NKT A/S,DK,Nasdaq Copenhagen,DKK,0.6724489795918351,2026-03-31T00:00:00,1217.59871,167181386.57664,,31250.0,0.125,0.00018692272291732812,fresh,52.75,enter,-0.028462379429893256,0.002325,-0.030787379429893257
history,2026-05,2026-04,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-04-30T00:00:00,2026-05-04T00:00:00,1,LUMI.ST,LUMI,LUMI.ST,Lundin Mining Corporation,SE,Nasdaq Stockholm,SEK,1.7866979520291828,2026-04-30T00:00:00,235.3,163510996.0,,31250.0,0.125,0.00019111864501149514,fresh,27.75,hold,-0.00924953202148035,0.00465,-0.01389953202148035
history,2026-05,2026-04,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-04-30T00:00:00,2026-05-04T00:00:00,2,LUG.ST,LUG,LUG.ST,Lundin Gold Inc,SE,Nasdaq Stockholm,SEK,1.4364705148591526,2026-04-30T00:00:00,632.6,135668513.5,,31250.0,0.125,0.00023034084470896778,fresh,27.75,hold,-0.00924953202148035,0.00465,-0.01389953202148035
history,2026-05,2026-04,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-04-30T00:00:00,2026-05-04T00:00:00,3,VWS.CO,VWS,VWS.CO,Vestas Wind Systems A/S,DK,Nasdaq Copenhagen,DKK,1.01655978179959,2026-04-30T00:00:00,283.533435,637127290.2725642,,31250.0,0.125,4.9048283564546724e-05,fresh,52.75,enter,-0.00924953202148035,0.00465,-0.01389953202148035
history,2026-05,2026-04,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-04-30T00:00:00,2026-05-04T00:00:00,4,TRMD-A.CO,TRMD-A,TRMD-A.CO,TORM plc,DK,Nasdaq Copenhagen,DKK,0.7889274966368929,2026-04-30T00:00:00,296.68218,55408038.594514,,31250.0,0.125,0.0005639975857779974,fresh,52.75,enter,-0.00924953202148035,0.00465,-0.01389953202148035
history,2026-05,2026-04,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-04-30T00:00:00,2026-05-04T00:00:00,5,NKT.CO,NKT,NKT.CO,NKT A/S,DK,Nasdaq Copenhagen,DKK,0.7782292557741655,2026-04-30T00:00:00,1363.54665,183186673.59925002,,31250.0,0.125,0.000170591011813252,fresh,52.75,hold,-0.00924953202148035,0.00465,-0.01389953202148035
history,2026-05,2026-04,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-04-30T00:00:00,2026-05-04T00:00:00,6,SAND.ST,SAND,SAND.ST,Sandvik AB,SE,Nasdaq Stockholm,SEK,0.7707056401452947,2026-04-30T00:00:00,383.1,823654518.75,,31250.0,0.125,3.7940664791623835e-05,fresh,27.75,hold,-0.00924953202148035,0.00465,-0.01389953202148035
history,2026-05,2026-04,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-04-30T00:00:00,2026-05-04T00:00:00,7,DNORD.CO,DNORD,DNORD.CO,Dampskibsselskabet Norden AS,DK,Nasdaq Copenhagen,DKK,0.7691719045671745,2026-04-30T00:00:00,436.45116,28240789.313462,,31250.0,0.125,0.0011065554738267727,fresh,65.25,enter,-0.00924953202148035,0.00465,-0.01389953202148035
history,2026-05,2026-04,ex_norway,Ex-Norway (Sweden and Denmark only) [n8 / trend_filter / ma10],lead,l12_s1_n8_strat=trend_filter,n8 / trend_filter / ma10,L=12 / skip=1 / top_n=8 / strat=trend_filter / trend_ma=10,2026-04-30T00:00:00,2026-05-04T00:00:00,8,IPCO.ST,IPCO,IPCO.ST,International Petroleum Corporation,SE,Nasdaq Stockholm,SEK,0.7390719569603224,2026-04-30T00:00:00,258.2,76865412.15,,31250.0,0.125,0.00040655477055163356,fresh,27.75,enter,-0.00924953202148035,0.00465,-0.01389953202148035
current,2026-06,2026-05,ex_norway,Ex-Norway (Sweden and Denmark only) [n15 / trend_filter / ma10],shadow,l12_s1_n15_strat=trend_filter,n15 / trend_filter / ma10,L=12 / skip=1 / top_n=15 / strat=trend_filter / trend_ma=10,2026-05-29T00:00:00,2026-06-01T00:00:00,1,LUMI.ST,LUMI,LUMI.ST,Lundin Mining Corporation,SE,Nasdaq Stockholm,SEK,1.9598306876649176,2026-05-29T00:00:00,278.9,147353882.89999998,,16666.666666666668,0.06666666666666667,0.0001131063962391633,fresh,27.749999999999996,hold,,,
current,2026-06,2026-05,ex_norway,Ex-Norway (Sweden and Denmark only) [n15 / trend_filter / ma10],shadow,l12_s1_n15_strat=trend_filter,n15 / trend_filter / ma10,L=12 / skip=1 / top_n=15 / strat=trend_filter / trend_ma=10,2026-05-29T00:00:00,2026-06-01T00:00:00,2,VWS.CO,VWS,VWS.CO,Vestas Wind Systems A/S,DK,Nasdaq Copenhagen,DKK,1.2450170411756498,2026-05-29T00:00:00,259.531272,626980099.5966301,,16666.666666666668,0.06666666666666667,2.6582449231465606e-05,fresh,52.75000000000001,hold,,,
current,2026-06,2026-05,ex_norway,Ex-Norway (Sweden and Denmark only) [n15 / trend_filter / ma10],shadow,l12_s1_n15_strat=trend_filter,n15 / trend_filter / ma10,L=12 / skip=1 / top_n=15 / strat=trend_filter / trend_ma=10,2026-05-29T00:00:00,2026-06-01T00:00:00,3,TRMD-A.CO,TRMD-A,TRMD-A.CO,TORM plc,DK,Nasdaq Copenhagen,DKK,1.0481146414469622,2026-05-29T00:00:00,254.702448,71276262.061068,,16666.666666666668,0.06666666666666667,0.00023383194046268894,fresh,52.75000000000001,hold,,,
current,2026-06,2026-05,ex_norway,Ex-Norway (Sweden and Denmark only) [n15 / trend_filter / ma10],shadow,l12_s1_n15_strat=trend_filter,n15 / trend_filter / ma10,L=12 / skip=1 / top_n=15 / strat=trend_filter / trend_ma=10,2026-05-29T00:00:00,2026-06-01T00:00:00,4,IPCO.ST,IPCO,IPCO.ST,International Petroleum Corporation,SE,Nasdaq Stockholm,SEK,0.957543593631538,2026-05-29T00:00:00,234.0,78585719.69999999,,16666.666666666668,0.06666666666666667,0.00021208263702733094,fresh,27.749999999999996,hold,,,
current,2026-06,2026-05,ex_norway,Ex-Norway (Sweden and Denmark only) [n15 / trend_filter / ma10],shadow,l12_s1_n15_strat=trend_filter,n15 / trend_filter / ma10,L=12 / skip=1 / top_n=15 / strat=trend_filter / trend_ma=10,2026-05-29T00:00:00,2026-06-01T00:00:00,5,SAND.ST,SAND,SAND.ST,Sandvik AB,SE,Nasdaq Stockholm,SEK,0.9447485040020083,2026-05-29T00:00:00,376.5,778814299.5,,16666.666666666668,0.06666666666666667,2.140005220418615e-05,fresh,27.749999999999996,hold,,,
